"nombre_barrio","cliente"
Alfonso López III,"1.69966E+18"
Urbanización Ciudad Jardín,"1.65113E+18"
San Vicente,-6.71279E+18
El Calvario,"7.59921E+18"
El Gran Limonar,"1.5025E+18"
Urbanización San Juaquín,"5.65855E+18"
San Luis II,-2.26501E+18
Unicentro Cali,-6.14609E+18
Lili,-2.83585E+18
Sucre,"3.06334E+18"
Chipichape,"7.14543E+17"
Chapinero,"9.21911E+18"
Urbanización San Juaquín,"4.72289E+18"
Colseguros Andes,-2.77467E+18
El Calvario,"2.36207E+18"
Santa Mónica Residencial,"2.0251E+16"
Calima,"2.01299E+17"
El Ingenio,-5.93827E+18
San Pedro,"7.98374E+17"
San Vicente,-1.77982E+18
El Calvario,"1.82435E+18"
Chapinero,-5.81573E+18
Sucre,"2.00545E+18"
Unicentro Cali,"4.02356E+18"
Centenario,-6.76635E+18
El Cedro,"4.49161E+18"
El Calvario,-2.4753E+18
Santa Mónica Residencial,"5.66963E+18"
Meléndez,"4.77695E+18"
San Fernando Nuevo,-7.62046E+18
Lili,-4.3752E+18
Las Acacias,-3.84191E+18
Calimio Desepaz,-5.27375E+18
San Pedro,"8.11489E+18"
San Vicente,-8.09251E+18
Urbanización La Flora,-9.04471E+18
Urbanización San Juaquín,"6.4692E+17"
El Jardín,-2.02005E+18
El Sena,-6.88549E+18
Parcelaciones Pance,-4.44223E+18
Santa Mónica Residencial,"1.77544E+18"
Unidad Residencial Santiago de Cali,-4.01121E+18
Unidad Residencial Santiago de Cali,-4.04608E+18
Lili,-1.51579E+18
San Pedro,-1.71807E+18
Granada,"6.19876E+18"
Urbanización San Juaquín,"6.93673E+17"
Chapinero,"7.48096E+17"
San Nicolás,-6.81644E+18
Bretana,-5.94803E+18
Los Parques,-1.55789E+18
El Sena,-6.93223E+18
El Sena,"8.56182E+18"
Lili,-8.04041E+18
Colseguros Andes,"4.22686E+18"
Porvenir,-3.75284E+18
Urbanización La Flora,-4.3649E+18
Los Parques,-2.45148E+18
Camino Real-Joaquín Borrero,-1.95511E+18
Flora Industrial,-5.39374E+18
Menga,-9.60975E+17
Santander,-2.81026E+18
San Vicente,"6.07056E+18"
Urbanización La Flora,"3.48837E+18"
San Nicolás,"6.11576E+18"
San Vicente,-3.16301E+17
San Vicente,-6.6E+18
Santander,-1.09568E+18
Unicentro Cali,"5.48466E+18"
Primero de Mayo,-1.34613E+18
Urbanización San Juaquín,"6.56019E+18"
Unicentro Cali,"4.48903E+18"
Parcelaciones Pance,-2.36591E+18
